station,postcode,latitude,longitude,tlc,nlc,stanox,tiploc
Ty Glas,CF14 5DL,51.5215421683175,-3.19653469386441,TGS,3817.0,78389,TYGLAS
Tygwyn,LL47 6TF,52.8937901176893,-4.07865560947925,TYG,4357.0,64424,TYGWYN
Tyndrum Lower,FK20 8RZ,56.4333478464443,-4.71482224640449,TYL,8728.0,06055,TYNDRML
Tyseley,B11 2HH,52.4541178692948,-1.83911620727109,TYS,4518.0,66460,TYSL
Tywyn,LL36 9EY,52.5855810418576,-4.0935600802111,TYW,4433.0,64411,TYWYN
Uckfield,TN22 5DL,50.9687372365834,0.0963808849065427,UCK,5334.0,87769,UCKFILD
Uddingston,G71 7LR,55.8235326549642,-4.08669855110048,UDD,9776.0,07419,UDNGSTN
Ulceby,DN39 6BE,53.6191996207736,-0.300826770891285,ULC,6211.0,21011,ULCEBY
Ulleskelf,LS24 9DJ,53.8536118318936,-1.21397217711089,ULL,8261.0,16493,ULESKLF
Ulverston,LA12 0DP,54.1915877643757,-3.09791569001614,ULV,2010.0,11311,ULVRSTN
Umberleigh,EX37 9AB,50.9967529650831,-3.98288778819791,UMB,5826.0,83226,UMBRLGH
University (Birmingham),B15 2FB,52.4512435733701,-1.9366839107718,UNI,4504.0,66501,UNVRSYB
Uphall,EH54 5QG,55.9190463544666,-3.50212011291368,UHA,9373.0,04028,UPHALL
Upholland,WN8 9QD,53.5283821704968,-2.74140531262916,UPL,2364.0,36044,UPHOLND
Upminster,RM14 2TD,51.5591060152203,0.250883915124465,UPM,7464.0,51351,UPMNSTR
Upper Halliford,TW16 7HB,51.4130662280346,-0.430905796818098,UPH,5613.0,87156,UHALIFD
Upper Holloway,N19 4DJ,51.5636297417848,-0.129513083236734,UHL,1524.0,63641,UPRHLWY
Upper Tyndrum,FK20 8RY,56.4346688861349,-4.7037226257088,UTY,8838.0,06039,TYNDRMU
Upper Warlingham,CR3 0EP,51.3085101869433,-0.077951746983225,UWL,5391.0,87745,UWRLNGH
Upton (Merseyside),CH43 9RY,53.38649081158,-3.084153041982,UPT,2141.0,38031,UPTON
Upwey,DT3 5RB,50.6482740260762,-2.46613841976536,UPW,5967.0,86978,UPWEY
Urmston,M41 5AW,53.4482724799132,-2.3537968544528,URM,2938.0,33095,URMSTON
Uttoxeter,ST14 8XG,52.8967923048407,-1.85725484169008,UTT,1342.0,43605,UTOXETR
Valley,LL65 3EW,53.2812901297552,-4.563369948251,VAL,2440.0,40012,VALLEY
